State,Date,Time,Cumulative case count,Cumulative deaths,Tests conducted (negative),Tests conducted (total),Hospitalisations (count),Intensive care (count),Ventilator usage (count),Recovered (cumulative),Update Source,Notes
TAS,25/03/2020,19:55,42,,,1272,,,,,media release,
ACT,25/03/2020,17:12,44,,2964,3008,,,,,national summary,
SA,25/03/2020,17:12,197,,,,,,,,national summary,
WA,25/03/2020,17:12,205,,,10783,,,,6,national summary,
QLD,25/03/2020,17:12,443,,,,,,,,national summary,
VIC,25/03/2020,17:12,466,,,,,,,,national summary,
NSW,25/03/2020,17:12,1029,,,,,,,,national summary,
NSW,25/03/2020,20:00,1219,,72787,74006,,16,,,media release,
QLD,25/03/2020,,,1,,,,,,,media release,
NT,26/03/2020,21:57,12,,,,,,,,,
TAS,26/03/2020,19:35,47,,,,,,,,media release,
ACT,26/03/2020,13:19,53,,3216,,,,,,media release,
WA,26/03/2020,,231,2,11288,11519,,,,,media release,
SA,26/03/2020,,235,,,,,,,,national summary,
QLD,26/03/2020,,493,,,38860,,,,,media release,
VIC,26/03/2020,14:05,520,2,,26900,,,,149,media release,
NSW,26/03/2020,08:34,1405,,,,,,,,national summary,
NSW,26/03/2020,20:00,1405,,76284,77689,134,19,,,media release,
TAS,27/03/2020,22:15,58,,,1779,,,,,media release,
ACT,27/03/2020,12:18,62,,3698,,,,,,media release,
WA,27/03/2020,15:00,255,,,,,,,,national summary,
SA,27/03/2020,15:00,257,,,23500,,,,,media release,
QLD,27/03/2020,16:30,555,,,,,,,,media release,
VIC,27/03/2020,15:04,574,3,,27800,,,,,media release,
NSW,27/03/2020,23:00,1617,8,,,147,22,,,media release,
NT,28/03/2020,,14,,,,,,,,national summary,
TAS,28/03/2020,,58,,,,,,,,national summary,
ACT,28/03/2020,13:31,71,,3988,4059,6,,,2,media release,
WA,28/03/2020,,278,,,,,,,,national summary,
SA,28/03/2020,,287,,,,,,,,national summary,
QLD,28/03/2020,23:00,625,,,,,,,,media release,
VIC,28/03/2020,23:00,685,4,,,,,,,media release,
NSW,28/03/2020,20:00,1791,,91308,93099,,,,,national summary,
TAS,29/03/2020,12:00,62,,,,,,,,media release,
TAS,29/03/2020,,66,,,,,,,,media release,
ACT,29/03/2020,12:15,77,,4230,,6,,,,,
SA,29/03/2020,16:50,299,,,26000,,6,,,press conference,
WA,29/03/2020,18:56,311,,13337,13648,,,,,media release,
QLD,29/03/2020,11:30,656,2,,,,,,,press conference,
VIC,29/03/2020,13:07,769,,,39000,26,4,,,media release,
NSW,29/03/2020,20:00,1918,,94534,96452,,26,,,national summary/media release,
ACT,30/03/2020,13:45,78,1,4363,,6,,,2,media release,
SA,30/03/2020,20:15,305,,,26000,,,,,media release,
WA,30/03/2020,,355,,13833,14188,,,,,media release,
QLD,30/03/2020,16:57,689,,,,,,,,media release,
VIC,30/03/2020,08:40,821,,,,,,,,media release,
VIC,30/03/2020,13:53,821,4,,42000,29,4,,248,media release,
NSW,30/03/2020,,2032,,97919,99951,164,35,,,national summary/press conference,
TAS,30/03/2020,06:00,,1,,,,,,,media release,
NT,31/03/2020,,16,,,,,,,,national summary,
TAS,31/03/2020,,68,2,,,,,,,national summary,
ACT,31/03/2020,13:45,80,,,,6,,,,media release,
SA,31/03/2020,,337,,,,,,,,national summary,
WA,31/03/2020,,364,,,,,,,,national summary,
QLD,31/03/2020,11:15,743,,,,65,7,,,press conference,
VIC,31/03/2020,14:00,917,,,45000,29,4,,291,media release,
NSW,31/03/2020,20:00,2182,9,103361,105543,,42,,,media release,
NT,01/04/2020,15:00,18,,,,,,,,national summary,
TAS,01/04/2020,,71,,,,,,,,media release,
ACT,01/04/2020,12:21,84,1,4774,,9,,,8,media release,One previously reported case was deemed not to have had covid-19 and was removed
SA,01/04/2020,15:00,367,,,29000,,,,,media release,
WA,01/04/2020,14:40,392,,15130,15522,,,,64,media release,
QLD,01/04/2020,,781,,,50853,,,,,media release,
VIC,01/04/2020,11:39,968,5,,47000,32,6,,343,media release,
NSW,01/04/2020,23:00,2298,10,,,,,,,press conference,
NT,02/04/2020,18:45,20,,,,,,,,national summary,
TAS,02/04/2020,18:45,74,,,,,,,,media release,
ACT,02/04/2020,12:00,87,,4931,5018,8,4,,11,media release,
ACT,02/04/2020,18:45,88,,,,,,,,national summary,
SA,02/04/2020,18:45,385,,,,,,,,national summary,
WA,02/04/2020,18:45,400,,15790,16190,2,,,92,media release,
QLD,02/04/2020,10:56,781,3,,,,,,,media release,
QLD,02/04/2020,15:00,835,,,,,,,,media release,
VIC,02/04/2020,23:00,1036,6,,49000,,,,,media release,
NSW,02/04/2020,20:00,2389,12,112066,114455,209,42,,,media release,
NT,03/04/2020,00:58,22,,,,,,,,media release,
TAS,03/04/2020,17:45,80,,,,,,,,media release,
ACT,03/04/2020,14:45,91,,5040,,,,,18,media release,
SA,03/04/2020,16:45,396,,,30000,,,,46,media release,
WA,03/04/2020,15:45,422,3,16022,16444,56,16,,92,media release,
QLD,03/04/2020,10:09,873,,,53000,,,,,tweet by premier,
VIC,03/04/2020,08:40,1085,7,,51000,37,7,,,media release,
NSW,03/04/2020,18:45,2493,,,117633,251,41,23,,media release,
NT,04/04/2020,,25,,,,,,,,national summary,
TAS,04/04/2020,,82,,,,,,,,media release,
ACT,04/04/2020,13:59,93,2,,,,,,,media release,
SA,04/04/2020,,407,,,,,,,,national summary,
WA,04/04/2020,,436,,,,,,,,national summary,
QLD,04/04/2020,19:45,900,,,,,,,,media release,
VIC,04/04/2020,20:45,1115,8,,,,,,,media release,
NSW,04/04/2020,20:00,2580,16,118863,121443,279,39,23,,media release,
TAS,05/04/2020,11:30,86,,,,,,,,press conference,
ACT,05/04/2020,13:00,96,,5258,,6,,,28,media release,
SA,05/04/2020,16:20,409,,,,19,9,,,press conference,
WA,05/04/2020,15:40,453,,17744,18197,59,18,,148,press conference,
QLD,05/04/2020,11:00,907,,,,,,,,media release,
VIC,05/04/2020,10:50,1135,,,56000,47,,11,573,media release,
NSW,05/04/2020,20:00,2637,19,121401,124038,249,40,,,media release,
QLD,05/04/2020,17:30,,4,,,,,,,media release,
NT,06/04/2020,06:00,26,,,,,,,,national summary,
NT,06/04/2020,,27,,,,,,,,national summary,
TAS,06/04/2020,09:22,89,,,,,,,,press conference,
ACT,06/04/2020,,96,,5329,,7,,,40,media release,
SA,06/04/2020,,411,,,,,,,,national summary,
WA,06/04/2020,14:50,460,4,,,,,,162,press conference,
QLD,06/04/2020,15:10,921,,,,,,,,media release,
VIC,06/04/2020,12:15,1158,10,,57000,45,11,,620,media release,
NSW,06/04/2020,20:00,2686,21,123460,126146,229,37,24,,media release,
SA,06/04/2020,09:00,,1,,33000,,,,,media release,
ACT,07/04/2020,13:54,97,,5497,,6,,,42,media release,
TAS,07/04/2020,,98,3,,,,,,,media release,
WA,07/04/2020,14:00,470,6,18731,,,,,,daily snapshot,
QLD,07/04/2020,16:27,934,,,,,,,,media release,
VIC,07/04/2020,08:40,1191,11,,58000,47,13,,686,media release,
NSW,07/04/2020,20:00,2734,,,,227,36,22,,media release,
NT,08/04/2020,16:00,28,,,2999,24,0,0,2,media release/PM&C,
ACT,08/04/2020,13:30,99,,5679,5778,4,3,2,47,media release/PM&C,
TAS,08/04/2020,,107,,,3295,13,2,0,38,media release/PM&C,
SA,08/04/2020,06:00,415,2,,34593,16,8,0,120,media release/PM&C,
WA,08/04/2020,17:00,481,,19615,20096,34,15,-,170,media release/PM&C,
QLD,08/04/2020,14:17,943,,,63552,35,11,11,345,media release/PM&C,
VIC,08/04/2020,09:00,1212,12,,60000,45,12,0,736,media release/PM&C,
NSW,08/04/2020,20:00,2773,,130224,132997,221,31,21,1356,media release/PM&C,
ACT,09/04/2020,13:45,100,,,,3,,,,media release,
TAS,09/04/2020,08:45,107,,,,,,,,media release,
SA,09/04/2020,08:00,420,3,,35000,,,,,media release,
SA,09/04/2020,17:15,421,,,,,,,,National summary,
WA,09/04/2020,17:15,495,,,,,,,,National summary,
QLD,09/04/2020,13:30,953,,,,,,,372,media release,
VIC,09/04/2020,11:10,1228,,,62000,50,13,,806,media release,
NSW,09/04/2020,14:24,2822,22,134619,137441,211,29,23,,media release,
ACT,10/04/2020,12:20,102,,6000,6103,4,,,59,media release,Adjusted by one death due to later update
TAS,10/04/2020,,111,4,,,,,,,press conference,
SA,10/04/2020,16:35,427,,,,15,6,,,press conference,
WA,10/04/2020,17:35,506,,,,,,,,national summary,
QLD,10/04/2020,15:35,965,,,,,,,,media release,
VIC,10/04/2020,12:20,1241,13,,,,13,,926,media release,
NSW,10/04/2020,20:00,2847,23,138923,141777,218,30,21,,press release,
TAS,11/04/2020,10:00,122,4,,,8,2,0,,press release/PM&C,
SA,11/04/2020,10:00,428,,,,,,,,national summary,
SA,11/04/2020,17:50,429,3,,,15,7,0,225,national summary/press release/PM&C,
WA,11/04/2020,17:50,514,6,,,39,12,,216,press release/PM&C,
QLD,11/04/2020,10:00,972,4,,,,,,,press release,
QLD,11/04/2020,15:30,974,4,,,28,12,12,368,press release/PM&C,
VIC,11/04/2020,10:00,1265,14,,,44,15,0,986,press release,
NSW,11/04/2020,10:00,2857,24,,,78,30,24,1356,press release/PM&C,
ACT,11/04/2020,16:00,,,,,4,2,2,62,PM&C,
NT,11/04/2020,17:00,28,,,3243,24,0,0,2,coronavirus.nt.gov.au,
ACT,12/04/2020,12:35,102,2,6159,,3,,,67,press release,
SA,12/04/2020,06:00,429,4,,,,,,,media release,
WA,12/04/2020,16:58,517,,22601,,38,15,,239,media release,
QLD,12/04/2020,11:42,983,4,,72313,,12,,,press release/premier tweet,
VIC,12/04/2020,11:41,1268,14,,69000,44,16,,1015,press release,
TAS,12/04/2020,,144,5,,,,,,50,premier,
NSW,12/04/2020,20:00,2863,26,141517,144380,222,30,21,,national summary/press conference,
VIC,13/04/2020,11:00,1281,,,70000,40,14,,1075,press release,
QLD,13/04/2020,,987,,,,23,11,11,442,pm&o,
ACT,13/04/2020,13:15,103,,6191,,3,2,1,72,press release,
WA,13/04/2020,15:45,523,6,23412,,38,14,,251,press conference,
SA,13/04/2020,15:45,431,,,37000,13,6,,,press conference,
TAS,13/04/2020,18:00,150,,,,,,,,press release,
NT,13/04/2020,16:00,28,,,,22,0,0,4,,
NSW,13/04/2020,20:00,2870,25,142939,145809,225,32,19,1356,press conference/pm&o,
VIC,14/04/2020,08:30,1291,14,,71000,40,15,12,1118,press conference/pm&o,
QLD,14/04/2020,09:50,998,,,74013,24,11,11,442,press conference/pm&o,
ACT,14/04/2020,13:17,103,2,6291,,3,2,1,75,press release/pm&o,
WA,14/04/2020,16:55,527,,23870,,32,12,,296,media release,
SA,14/04/2020,16:00,433,4,,,11,4,0,253,pm&o,
TAS,14/04/2020,18:00,165,6,,,,,,,,
NSW,14/04/2020,20:00,2886,26,144228,147114,214,29,18,1356,media release/pm&o,
QLD,15/04/2020,09:00,999,4,,75447,23,11,10,442,press conference,
ACT,15/04/2020,13:04,103,3,6387,,2,1,0,77,media release/pm&o,
VIC,15/04/2020,13:08,1299,14,,72000,39,18,12,1137,media release,
WA,15/04/2020,15:58,532,6,24081,,33,11,,338,media release,
TAS,15/04/2020,18:00,169,,,,,,,,media release,
SA,15/04/2020,,433,,,37500,,1,,279,media release,
NT,15/04/2020,,28,,,,,,,,,
NSW,15/04/2020,20:00,2897,,147417,150314,207,26,19,,media release,
QLD,16/04/2020,10:30,1001,,,77727,21,11,,442,press conference,
NT,16/04/2020,10:45,28,,3353,3381,,,,6,https://coronavirus.nt.gov.au/current-status,
ACT,16/04/2020,13:20,103,,6516,,2,,,79,media release,
WA,16/04/2020,17:00,535,,,,,,,340,media release,
SA,16/04/2020,18:00,434,,,38000,,2,,308,media release,
VIC,16/04/2020,18:00,1301,,,,,,,,National summary,
TAS,16/04/2020,18:00,180,,,,,,,,media release,
NSW,16/04/2020,20:00,2926,,152376,155302,217,26,19,,media release,
VIC,17/04/2020,10:30,1302,14,,75000,32,13,9,1159,media release/pm&o,
ACT,17/04/2020,12:50,103,3,6651,,2,1,0,81,media release/pm&o,
QLD,17/04/2020,13:40,1007,4,,,19,11,9,442,media release/pm&o,
TAS,17/04/2020,14:15,,7,,,16,2,0,64,press conference,
NT,17/04/2020,14:45,28,,,,,,,9,https://coronavirus.nt.gov.au/current-status,
SA,17/04/2020,16:00,435,4,,,7,1,0,435,press conference,
WA,17/04/2020,17:00,541,7,25684,,34,6,,377,media release,
NSW,17/04/2020,20:00,2936,,157518,160454,253,25,18,,,
ACT,18/04/2020,16:00,103,3,,,1,0,0,88,national summary,
VIC,18/04/2020,10:05,1319,14,,,30,12,8,1172,press conference/pm&o,
TAS,18/04/2020,11:25,,8,,,,,,,press conference,
QLD,18/04/2020,12:05,1014,4,,,,,,,media release,2 deaths died in NSW and are tracked there
NSW,18/04/2020,12:40,,28,,,,,,,media release,
NSW,18/04/2020,15:30,,29,,,57,25,19,,press conference/national summary,
NSW,18/04/2020,20:00,2957,,162180,165137,245,21,17,,national summary/media release,
SA,18/04/2020,20:00,435,,,41000,,2,,,,
VIC,19/04/2020,08:30,,15,,,,,,,media interview ,
QLD,19/04/2020,06:00,1014,,,,,,,,national summary,
TAS,19/04/2020,06:00,187,,,,,,,,national summary,
VIC,19/04/2020,06:00,1319,,,,,,,,national summary,
WA,19/04/2020,06:00,544,,,,,,,,national summary,
ACT,19/04/2020,11:58,103,3,6893,,0,0,0,89,media release,
VIC,19/04/2020,13:10,1328,15,,82000,29,10,,1188,media release,
QLD,19/04/2020,13:32,1019,,,84735,22,8,,738,media release,
WA,19/04/2020,,545,7,28343,,28,6,,426,daily snapshot/media release,
